score_1;risk_score1;score_2;risk_score2;interaction_1;interaction_2;transaction;bad_transaction;state;population;sc_control
excellent;0;medium;1;0;1;79;0;NV;0;0
excellent;0;excellent;0;0;0;99;0;MD;0;0
excellent;0;medium;1;0;1;50;0;OH;0;0
excellent;0;excellent;0;0;0;79;0;FL;1;0
good;0;excellent;0;0;0;99;0;IN;0;0
excellent;0;excellent;0;0;0;50;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;TX;1;0
excellent;0;bad;1;0;1;50;0;FL;1;0
medium;1;good;0;0;0;75;0;TX;1;0
good;0;excellent;0;0;0;99;0;PA;1;0
excellent;0;bad;1;0;1;75;0;NY;1;0
excellent;0;good;0;0;0;59;0;OR;0;0
excellent;0;excellent;0;0;0;99;0;CA;1;0
medium;1;good;0;0;0;100;0;IL;0;0
good;0;excellent;0;0;0;49;0;FL;1;0
good;0;excellent;0;0;0;75;0;IL;0;0
excellent;0;excellent;0;0;0;100;0;NV;0;0
medium;1;excellent;0;0;0;59;0;IN;0;0
excellent;0;excellent;0;0;0;50;0;MI;0;0
excellent;0;good;0;0;0;99;0;CA;1;0
excellent;0;excellent;0;0;0;100;0;VA;0;0
excellent;0;excellent;0;0;0;59;0;TX;1;0
good;0;excellent;0;0;0;99;0;TX;1;0
excellent;0;excellent;0;0;0;79;0;UT;0;0
excellent;0;medium;1;0;1;50;0;MS;0;0
excellent;0;excellent;0;0;0;99;0;CA;1;0
medium;1;excellent;0;0;0;99;0;CA;1;0
good;0;excellent;0;0;0;75;0;SC;0;1
excellent;0;excellent;0;0;0;100;0;MN;0;0
good;0;excellent;0;0;0;50;0;VA;0;0
excellent;0;medium;1;0;1;75;0;AL;0;0
good;0;excellent;0;0;0;99;0;CA;1;0
excellent;0;excellent;0;0;0;79;0;TX;1;0
good;0;excellent;0;0;0;79;0;PA;1;0
good;0;excellent;0;0;0;59;0;KY;0;0
excellent;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;NY;1;0
good;0;medium;1;0;1;79;0;NC;0;0
medium;1;excellent;0;0;0;59;0;NJ;0;0
excellent;0;medium;1;0;1;75;0;TX;1;0
excellent;0;medium;1;0;1;75;0;OH;0;0
excellent;0;medium;1;0;1;75;0;SC;0;1
excellent;0;excellent;0;0;0;99;0;AL;0;0
good;0;excellent;0;0;0;59;0;SC;0;1
excellent;0;excellent;0;0;0;99;0;NC;0;0
excellent;0;medium;1;0;1;99;0;TX;1;0
excellent;0;excellent;0;0;0;74;0;OH;0;0
excellent;0;excellent;0;0;0;75;0;SC;0;1
good;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;OH;0;0
excellent;0;excellent;0;0;0;99;0;IN;0;0
good;0;medium;1;0;1;50;0;NJ;0;0
excellent;0;medium;1;0;1;100;0;TN;0;0
excellent;0;excellent;0;0;0;99;0;TX;1;0
excellent;0;excellent;0;0;0;50;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;SC;0;1
good;0;excellent;0;0;0;99;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;TX;1;0
good;0;medium;1;0;1;99;0;LA;0;0
excellent;0;excellent;0;0;0;99;0;CT;0;0
good;0;excellent;0;0;0;59;0;IL;0;0
good;0;excellent;0;0;0;50;0;NY;1;0
excellent;0;excellent;0;0;0;50;0;TX;1;0
excellent;0;excellent;0;0;0;75;0;TX;1;0
excellent;0;excellent;0;0;0;75;0;CA;1;0
excellent;0;excellent;0;0;0;50;0;SC;0;1
excellent;0;excellent;0;0;0;59;0;AZ;0;0
good;0;good;0;0;1;79;0;CA;1;0
excellent;0;medium;1;0;1;50;0;OR;0;0
good;0;excellent;0;0;0;79;0;SC;0;1
good;0;excellent;0;0;0;99;0;MN;0;0
excellent;0;good;0;0;0;75;0;OH;0;0
excellent;0;excellent;0;0;0;59;0;CA;1;0
medium;1;excellent;0;0;0;75;0;NV;0;0
excellent;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;excellent;0;0;0;50;0;FL;1;0
excellent;0;excellent;0;0;0;75;0;OH;0;0
excellent;0;excellent;0;0;0;75;0;NY;1;0
excellent;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;excellent;0;0;0;79;0;CO;0;0
excellent;0;medium;1;0;1;75;0;SD;0;0
excellent;0;good;0;0;0;75;0;WI;0;0
excellent;0;excellent;0;0;0;50;0;SC;0;1
excellent;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;AZ;0;0
excellent;0;excellent;0;0;0;99;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;MA;0;0
excellent;0;medium;1;0;1;100;0;SC;0;1
excellent;0;excellent;0;0;0;99;0;SC;0;1
good;0;excellent;0;0;0;79;0;CA;1;0
nd;1;good;0;0;1;99;0;CA;1;0
excellent;0;excellent;0;0;0;75;0;NV;0;0
excellent;0;excellent;0;0;0;99;0;SC;0;1
excellent;0;excellent;0;0;0;100;0;SC;0;1
excellent;0;medium;1;0;1;99;0;OH;0;0
excellent;0;excellent;0;0;0;99;0;SC;0;1
medium;1;excellent;0;0;0;75;0;TX;1;0
excellent;0;nodata;0;0;1;100;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;OR;0;0
excellent;0;excellent;0;0;0;50;0;UT;0;0
excellent;0;excellent;0;0;0;99;0;CA;1;0
good;0;excellent;0;0;0;99;0;SC;0;1
good;0;nodata;0;0;1;59;0;NC;0;0
excellent;0;nodata;0;0;1;89;0;SC;0;1
excellent;0;excellent;0;0;0;59;0;IN;0;0
good;0;excellent;0;0;0;99;0;MA;0;0
good;0;excellent;0;0;0;99;0;TX;1;0
excellent;0;excellent;0;0;0;79;0;NY;1;0
excellent;0;excellent;0;0;0;59;0;IN;0;0
excellent;0;excellent;0;0;0;49;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;TX;1;0
medium;1;excellent;0;0;0;59;0;PA;1;0
excellent;0;excellent;0;0;0;75;0;SC;0;1
excellent;0;excellent;0;0;0;100;0;AZ;0;0
excellent;0;excellent;0;0;0;50;0;CA;1;0
good;0;medium;1;0;1;75;0;VT;0;0
excellent;0;good;0;0;0;75;1;PA;1;0
excellent;0;bad;1;0;1;79;0;NY;1;0
excellent;0;excellent;0;0;0;75;1;FL;1;0
excellent;0;excellent;0;0;0;50;0;AL;0;0
excellent;0;good;0;0;0;75;0;NY;1;0
excellent;0;medium;1;0;1;75;1;FL;1;0
excellent;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;SC;0;1
good;0;excellent;0;0;0;79;0;FL;1;0
excellent;0;excellent;0;0;0;99;0;TX;1;0
excellent;0;good;0;0;0;59;0;NC;0;0
good;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;FL;1;0
good;0;excellent;0;0;0;59;0;SC;0;1
excellent;0;medium;1;0;1;59;0;SC;0;1
excellent;0;excellent;0;0;0;99;0;IL;0;0
excellent;0;excellent;0;0;0;59;0;NE;0;0
medium;1;excellent;0;0;0;59;0;NY;1;0
nd;1;excellent;0;0;1;59;1;CA;1;0
excellent;0;excellent;0;0;0;99;1;OR;0;0
excellent;0;excellent;0;0;0;99;0;TX;1;0
good;0;excellent;0;0;0;59;0;SC;0;1
excellent;0;bad;1;0;1;59;0;FL;1;0
excellent;0;good;0;0;0;75;0;FL;1;0
excellent;0;medium;1;0;1;75;0;LA;0;0
excellent;0;excellent;0;0;0;100;0;TN;0;0
good;0;excellent;0;0;0;75;0;SC;0;1
good;0;excellent;0;0;0;99;0;PA;1;0
good;0;excellent;0;0;0;59;1;MN;0;0
good;0;excellent;0;0;0;99;1;NY;1;0
medium;1;medium;1;1;0;50;1;NY;1;0
good;0;excellent;0;0;0;59;0;IL;0;0
excellent;0;bad;1;0;1;59;1;MN;0;0
good;0;excellent;0;0;0;75;0;CA;1;0
good;0;good;0;0;1;59;0;SC;0;1
good;0;excellent;0;0;0;75;0;NY;1;0
good;0;medium;1;0;1;75;0;TX;1;0
good;0;medium;1;0;1;75;0;AZ;0;0
good;0;medium;1;0;1;75;1;IN;0;0
good;0;medium;1;0;1;75;0;VA;0;0
good;0;medium;1;0;1;75;0;LA;0;0
excellent;0;medium;1;0;1;99;0;FL;1;0
excellent;0;excellent;0;0;0;99;0;NY;1;0
excellent;0;excellent;0;0;0;99;0;OH;0;0
excellent;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;59;0;HI;0;0
excellent;0;excellent;0;0;0;59;0;PA;1;0
good;0;excellent;0;0;0;75;1;OR;0;0
good;0;excellent;0;0;0;79;0;ID;0;0
good;0;excellent;0;0;0;50;0;AZ;0;0
good;0;good;0;0;1;50;1;MA;0;0
good;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;medium;1;0;1;59;0;VA;0;0
good;0;excellent;0;0;0;75;0;NJ;0;0
nd;1;medium;1;1;1;50;0;IN;0;0
excellent;0;excellent;0;0;0;59;0;CT;0;0
good;0;excellent;0;0;0;59;0;CA;1;0
good;0;excellent;0;0;0;99;0;KY;0;0
excellent;0;excellent;0;0;0;50;0;OH;0;0
excellent;0;excellent;0;0;0;75;0;PA;1;0
excellent;0;medium;1;0;1;75;0;FL;1;0
excellent;0;excellent;0;0;0;50;0;FL;1;0
excellent;0;excellent;0;0;0;99;0;IL;0;0
excellent;0;medium;1;0;1;59;0;TX;1;0
excellent;0;medium;1;0;1;75;0;KS;0;0
good;0;excellent;0;0;0;99;0;MA;0;0
good;0;excellent;0;0;0;79;0;KY;0;0
excellent;0;excellent;0;0;0;59;0;FL;1;0
good;0;excellent;0;0;0;99;0;SC;0;1
excellent;0;excellent;0;0;0;50;0;NY;1;0
excellent;0;excellent;0;0;0;50;0;MN;0;0
excellent;0;medium;1;0;1;79;0;MI;0;0
excellent;0;medium;1;0;1;79;0;IN;0;0
good;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;HI;0;0
excellent;0;excellent;0;0;0;75;0;CO;0;0
excellent;0;excellent;0;0;0;75;1;MA;0;0
excellent;0;excellent;0;0;0;99;0;NC;0;0
nd;1;medium;1;1;1;59;0;TX;1;0
nd;1;medium;1;1;1;75;0;OH;0;0
excellent;0;medium;1;0;1;75;0;CO;0;0
excellent;0;excellent;0;0;0;100;0;FL;1;0
excellent;0;medium;1;0;1;59;0;OH;0;0
good;0;excellent;0;0;0;79;0;CA;1;0
good;0;excellent;0;0;0;99;0;MA;0;0
good;0;excellent;0;0;0;79;0;MA;0;0
excellent;0;excellent;0;0;0;79;0;OH;0;0
excellent;0;excellent;0;0;0;50;0;MA;0;0
good;0;excellent;0;0;0;59;0;OH;0;0
excellent;0;bad;1;0;1;79;0;PA;1;0
good;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;medium;1;0;1;99;0;KY;0;0
medium;1;excellent;0;0;0;99;0;CA;1;0
good;0;medium;1;0;1;79;0;OH;0;0
excellent;0;medium;1;0;1;99;0;CA;1;0
excellent;0;medium;1;0;1;74;0;LA;0;0
nd;1;excellent;0;0;1;50;0;MI;0;0
excellent;0;excellent;0;0;0;99;0;WA;0;0
excellent;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;NC;0;0
good;0;excellent;0;0;0;99;0;IL;0;0
good;0;excellent;0;0;0;79;0;TX;1;0
excellent;0;excellent;0;0;0;99;0;WA;0;0
excellent;0;excellent;0;0;0;50;0;CT;0;0
excellent;0;excellent;0;0;0;75;0;MN;0;0
excellent;0;excellent;0;0;0;75;0;LA;0;0
good;0;excellent;0;0;0;50;0;KY;0;0
good;0;excellent;0;0;0;99;0;TX;1;0
excellent;0;excellent;0;0;0;75;0;NC;0;0
excellent;0;excellent;0;0;0;75;0;FL;1;0
good;0;excellent;0;0;0;59;0;CA;1;0
excellent;0;excellent;0;0;0;50;0;NY;1;0
excellent;0;excellent;0;0;0;50;0;CT;0;0
excellent;0;excellent;0;0;0;59;0;NM;0;0
medium;1;excellent;0;0;0;75;0;OH;0;0
medium;1;excellent;0;0;0;79;0;IN;0;0
good;0;excellent;0;0;0;79;0;CA;1;0
good;0;excellent;0;0;0;79;0;SC;0;1
good;0;excellent;0;0;0;59;0;NY;1;0
good;0;excellent;0;0;0;99;0;CA;1;0
excellent;0;medium;1;0;1;75;0;CT;0;0
excellent;0;excellent;0;0;0;50;0;PA;1;0
excellent;0;excellent;0;0;0;59;0;TX;1;0
excellent;0;excellent;0;0;0;99;0;CT;0;0
excellent;0;excellent;0;0;0;75;0;SC;0;1
good;0;excellent;0;0;0;99;0;MA;0;0
excellent;0;excellent;0;0;0;75;0;IN;0;0
excellent;0;excellent;0;0;0;75;0;HI;0;0
medium;1;excellent;0;0;0;50;0;NY;1;0
excellent;0;excellent;0;0;0;75;0;MS;0;0
excellent;0;excellent;0;0;0;100;0;CT;0;0
excellent;0;medium;1;0;1;100;0;CA;1;0
good;0;excellent;0;0;0;99;0;CA;1;0
good;0;excellent;0;0;0;99;0;OH;0;0
excellent;0;excellent;0;0;0;99;0;MA;0;0
excellent;0;excellent;0;0;0;75;1;CT;0;0
good;0;excellent;0;0;0;99;0;CT;0;0
excellent;0;good;0;0;0;50;0;NM;0;0
excellent;0;good;0;0;0;59;0;NY;1;0
excellent;0;good;0;0;0;99;1;TX;1;0
medium;1;good;0;0;0;59;1;SC;0;1
medium;1;good;0;0;0;59;0;SC;0;1
nd;1;good;0;0;1;75;1;SC;0;1
excellent;0;good;0;0;0;79;0;SC;0;1
good;0;good;0;0;1;99;0;MI;0;0
excellent;0;good;0;0;0;59;1;TX;1;0
excellent;0;good;0;0;0;99;0;TX;1;0
excellent;0;good;0;0;0;59;0;NV;0;0
excellent;0;excellent;0;0;0;59;0;SD;0;0
excellent;0;good;0;0;0;75;1;PA;1;0
excellent;0;good;0;0;0;75;0;TN;0;0
excellent;0;good;0;0;0;100;0;FL;1;0
excellent;0;good;0;0;0;74;1;FL;1;0
good;0;good;0;0;1;79;0;CT;0;0
excellent;0;good;0;0;0;59;0;TX;1;0
excellent;0;medium;1;0;1;59;0;NY;1;0
excellent;0;medium;1;0;1;59;0;KY;0;0
good;0;good;0;0;1;59;0;NY;1;0
excellent;0;good;0;0;0;99;0;OH;0;0
good;0;bad;1;0;1;79;0;FL;1;0
good;0;bad;1;0;1;79;0;CA;1;0
excellent;0;good;0;0;0;99;0;NC;0;0
good;0;good;0;0;1;59;0;MN;0;0
excellent;0;good;0;0;0;99;0;IN;0;0
excellent;0;good;0;0;0;75;1;NJ;0;0
excellent;0;good;0;0;0;75;0;FL;1;0
excellent;0;good;0;0;0;59;1;NJ;0;0
medium;1;good;0;0;0;75;0;MA;0;0
excellent;0;good;0;0;0;99;0;TN;0;0
good;0;good;0;0;1;75;0;SC;0;1
excellent;0;good;0;0;0;75;0;AZ;0;0
excellent;0;good;0;0;0;75;0;TX;1;0
excellent;0;good;0;0;0;79;0;CA;1;0
excellent;0;good;0;0;0;59;0;MN;0;0
excellent;0;good;0;0;0;99;0;OH;0;0
good;0;good;0;0;1;59;0;PA;1;0
excellent;0;good;0;0;0;59;0;CA;1;0
good;0;good;0;0;1;99;0;AZ;0;0
excellent;0;bad;1;0;1;59;0;TX;1;0
excellent;0;good;0;0;0;74;0;OR;0;0
excellent;0;good;0;0;0;75;0;OH;0;0
excellent;0;good;0;0;0;59;0;TX;1;0
excellent;0;good;0;0;0;75;0;AL;0;0
good;0;good;0;0;1;74;0;PA;1;0
good;0;bad;1;0;1;59;0;CA;1;0
excellent;0;excellent;0;0;0;99;0;SC;0;1
excellent;0;good;0;0;0;59;0;CA;1;0
excellent;0;good;0;0;0;59;1;CA;1;0
excellent;0;good;0;0;0;99;0;OH;0;0
good;0;good;0;0;1;59;1;NV;0;0
good;0;good;0;0;1;79;0;FL;1;0
good;0;good;0;0;1;50;0;OH;0;0
good;0;good;0;0;1;59;0;AZ;0;0
good;0;good;0;0;1;79;0;CA;1;0
excellent;0;medium;1;0;1;79;0;NY;1;0
excellent;0;good;0;0;0;59;0;TX;1;0
excellent;0;good;0;0;0;59;0;CT;0;0
good;0;good;0;0;1;99;1;SD;0;0
excellent;0;good;0;0;0;50;0;SC;0;1
excellent;0;good;0;0;0;50;0;WI;0;0
excellent;0;good;0;0;0;75;0;MA;0;0
excellent;0;good;0;0;0;99;0;AZ;0;0
excellent;0;good;0;0;0;59;0;CA;1;0
good;0;good;0;0;1;59;0;OR;0;0
excellent;0;good;0;0;0;79;0;CA;1;0
good;0;good;0;0;1;75;0;NV;0;0
excellent;0;medium;1;0;1;79;0;VT;0;0
excellent;0;medium;1;0;1;79;0;PA;1;0
excellent;0;good;0;0;0;50;0;SC;0;1
good;0;excellent;0;0;0;99;1;CO;0;0
good;0;good;0;0;1;79;0;MN;0;0
good;0;good;0;0;1;59;0;CA;1;0
good;0;good;0;0;1;59;0;CA;1;0
excellent;0;bad;1;0;1;59;0;SC;0;1
medium;1;good;0;0;0;99;0;IN;0;0
excellent;0;good;0;0;0;59;0;SC;0;1
medium;1;good;0;0;0;50;0;SC;0;1
excellent;0;good;0;0;0;99;0;NY;1;0
excellent;0;good;0;0;0;59;0;SC;0;1
excellent;0;good;0;0;0;79;0;FL;1;0
excellent;0;good;0;0;0;99;1;CA;1;0
good;0;excellent;0;0;0;79;0;CA;1;0
excellent;0;bad;1;0;1;59;0;TX;1;0
excellent;0;good;0;0;0;59;1;TX;1;0
good;0;good;0;0;1;99;1;NC;0;0
good;0;good;0;0;1;59;1;SC;0;1
medium;1;good;0;0;0;89;0;IL;0;0
excellent;0;excellent;0;0;0;59;0;TX;1;0
medium;1;good;0;0;0;75;1;NE;0;0
excellent;0;bad;1;0;1;79;0;MA;0;0
good;0;good;0;0;1;79;0;CA;1;0
excellent;0;good;0;0;0;99;0;OR;0;0
excellent;0;good;0;0;0;99;1;TX;1;0
good;0;good;0;0;1;79;0;PA;1;0
excellent;0;excellent;0;0;0;50;0;VA;0;0
excellent;0;good;0;0;0;59;0;SD;0;0
excellent;0;good;0;0;0;99;0;TX;1;0
excellent;0;good;0;0;0;75;1;VA;0;0
excellent;0;excellent;0;0;0;75;0;TX;1;0
excellent;0;good;0;0;0;99;0;HI;0;0
excellent;0;good;0;0;0;99;0;OR;0;0
excellent;0;good;0;0;1;75;1;NJ;0;0
excellent;0;good;0;0;0;75;1;CT;0;0
excellent;0;good;0;0;0;59;0;FL;1;0
medium;1;good;0;0;0;59;0;KY;0;0
excellent;0;good;0;0;0;59;0;TN;0;0
excellent;0;good;0;0;0;99;0;TX;1;0
bad;1;good;0;0;1;50;0;FL;1;0
excellent;0;good;0;0;0;59;0;FL;1;0
excellent;0;good;0;0;0;59;0;IL;0;0
excellent;0;excellent;0;0;0;59;0;TX;1;0
good;0;good;0;0;1;99;1;TX;1;0
excellent;0;good;0;0;0;75;0;NY;1;0
excellent;0;good;0;0;0;59;1;SC;0;1
excellent;0;good;0;0;0;59;0;MN;0;0
excellent;0;medium;1;0;1;59;0;MN;0;0
excellent;0;good;0;0;0;99;0;MI;0;0
excellent;0;good;0;0;0;75;0;SC;0;1
excellent;0;good;0;0;0;99;0;LA;0;0
excellent;0;good;0;0;0;79;0;SD;0;0
excellent;0;excellent;0;0;0;99;0;FL;1;0
good;0;good;0;0;1;50;0;SC;0;1
excellent;0;good;0;0;0;59;0;OH;0;0
medium;1;good;0;0;0;79;0;CA;1;0
good;0;good;0;0;1;59;0;PA;1;0
excellent;0;bad;1;0;1;59;0;ID;0;0
excellent;0;good;0;0;0;50;0;CA;1;0
excellent;0;good;0;0;0;50;0;PA;1;0
excellent;0;excellent;0;0;0;75;0;FL;1;0
excellent;0;good;0;0;0;50;0;FL;1;0
excellent;0;good;0;0;0;99;0;NC;0;0
excellent;0;good;0;0;0;99;0;NY;1;0
excellent;0;good;0;0;0;59;0;PA;1;0
